data ora;origine;destinazione;tipo messaggio;payload;utente;da_id;a_id;altitudine;latitudine;longitudine;rxSnr
14/02/21 07:35:56;164411020;4294967295;TEXT_MESSAGE_APP;b'Hello mesh';;!b8f009ccb68c;^all;;;; 
14/02/21 07:35:58;164411020;164411020;;;;!b8f009ccb68c;!b8f009ccb68c;278;45.64105;9.114804; 
14/02/21 07:36:19;164411020;4294967295;NODEINFO_APP;b'\n\r!b8f009ccb68c\x12\tvinloren1\x1a\x03vnl"\x06\xb8\xf0\t\xcc\xb6\x8c';vinloren1;!b8f009ccb68c;^all;;;; 
14/02/21 07:36:20;164411020;164411020;NODEINFO_APP;b'\n\r!b8f009ccb68c\x12\tvinloren1\x1a\x03vnl"\x06\xb8\xf0\t\xcc\xb6\x8c';vinloren1;!b8f009ccb68c;!b8f009ccb68c;;;; 
14/02/21 07:36:20;164411020;164411020;NODEINFO_APP;b'\n\r!b8f009ccb68c\x12\tvinloren1\x1a\x03vnl"\x06\xb8\xf0\t\xcc\xb6\x8c';vinloren1;!b8f009ccb68c;!b8f009ccb68c;;;; 
14/02/21 07:36:22;164411020;4294967295;TEXT_MESSAGE_APP;b'5 07:36:22 cq de I1LOZ';;!b8f009ccb68c;^all;;;; 
14/02/21 07:36:42;164409200;164411020;NODEINFO_APP;b'\n\r!b8f009ccaf70\x12\tvinloren2\x1a\x03vnl"\x06\xb8\xf0\t\xcc\xafp';vinloren2;!b8f009ccaf70;!b8f009ccb68c;;;; 
14/02/21 07:36:52;164411020;4294967295;TEXT_MESSAGE_APP;b'7 07:36:52 cq de I1LOZ';;!b8f009ccb68c;^all;;;; 
14/02/21 07:36:55;164411020;4294967295;;;;!b8f009ccb68c;^all;278;45.64152;9.114976; 
14/02/21 07:37:07;164409200;164411020;POSITION_APP;b'\x18\x97\x028\xd4\xa7\xa2\xb3\x03@\xcc\xad\xf6V';;!b8f009ccaf70;!b8f009ccb68c;279;45.64116;9.114711;10.5
14/02/21 07:37:11;164409200;164411020;POSITION_APP;b'\x18\x97\x028\xd4\xa7\xa2\xb3\x03@\xcc\xad\xf6V';;!b8f009ccaf70;!b8f009ccb68c;279;45.64116;9.114711;9.5
14/02/21 07:37:22;164411020;4294967295;TEXT_MESSAGE_APP;b'11 07:37:22 cq de I1LOZ';;!b8f009ccb68c;^all;;;; 
14/02/21 07:37:44;164411020;4294967295;;;;!b8f009ccb68c;^all;278;45.64139;9.114995; 
14/02/21 07:37:52;164411020;4294967295;TEXT_MESSAGE_APP;b'13 07:37:52 cq de I1LOZ';;!b8f009ccb68c;^all;;;; 
14/02/21 07:38:22;164411020;4294967295;TEXT_MESSAGE_APP;b'14 07:38:22 cq de I1LOZ';;!b8f009ccb68c;^all;;;; 
14/02/21 07:38:34;164411020;4294967295;;;;!b8f009ccb68c;^all;278;45.64139;9.114995; 
14/02/21 07:38:52;164411020;4294967295;TEXT_MESSAGE_APP;b'16 07:38:52 cq de I1LOZ';;!b8f009ccb68c;^all;;;; 
14/02/21 07:38:52;164409200;164411020;POSITION_APP;b'\x18\x97\x028\xd4\xa7\xa2\xb3\x03@\xcc\xad\xf6V';;!b8f009ccaf70;!b8f009ccb68c;279;45.64116;9.114711;9.75
14/02/21 07:39:22;164411020;4294967295;TEXT_MESSAGE_APP;b'18 07:39:22 cq de I1LOZ';;!b8f009ccb68c;^all;;;; 
14/02/21 07:39:25;164411020;4294967295;;;;!b8f009ccb68c;^all;279;45.64139;9.114995; 
14/02/21 07:39:52;164411020;4294967295;TEXT_MESSAGE_APP;b'20 07:39:52 cq de I1LOZ';;!b8f009ccb68c;^all;;;; 
14/02/21 07:40:15;164411020;4294967295;;;;!b8f009ccb68c;^all;279;45.64139;9.114995; 
14/02/21 07:40:22;164411020;4294967295;TEXT_MESSAGE_APP;b'22 07:40:22 cq de I1LOZ';;!b8f009ccb68c;^all;;;; 
14/02/21 07:40:52;164411020;4294967295;TEXT_MESSAGE_APP;b'23 07:40:52 cq de I1LOZ';;!b8f009ccb68c;^all;;;; 
14/02/21 07:41:06;164411020;4294967295;;;;!b8f009ccb68c;^all;279;45.64139;9.114995; 
14/02/21 07:41:22;164411020;4294967295;TEXT_MESSAGE_APP;b'25 07:41:22 cq de I1LOZ';;!b8f009ccb68c;^all;;;; 
14/02/21 07:41:52;164411020;4294967295;TEXT_MESSAGE_APP;b'26 07:41:52 cq de I1LOZ';;!b8f009ccb68c;^all;;;; 
14/02/21 07:41:56;164411020;4294967295;;;;!b8f009ccb68c;^all;279;45.64139;9.114995; 
14/02/21 07:42:22;164411020;4294967295;TEXT_MESSAGE_APP;b'28 07:42:22 cq de I1LOZ';;!b8f009ccb68c;^all;;;; 
14/02/21 07:42:46;164411020;4294967295;;;;!b8f009ccb68c;^all;279;45.64139;9.114995; 
14/02/21 07:42:52;164411020;4294967295;TEXT_MESSAGE_APP;b'30 07:42:52 cq de I1LOZ';;!b8f009ccb68c;^all;;;; 
